nome,genero,data,cidade,estado
Hildagarde Youhill,Female,21/12/1999,New York City,New York
Ted Harbage,Male,05/01/2000,New York City,New York
Pegeen Josefovic,Female,23/03/2000,Bronx,New York
Rees Muccino,Male,13/11/1999,Albany,New York
Culver Matussov,Male,02/02/2000,Shawnee Mission,Kansas
Ninnette Aslen,Female,20/11/1999,Flushing,New York
Dickie Ramage,Male,17/12/1999,New York City,New York
Thurston Compford,Male,29/03/2000,Elmira,New York
Ware Kearle,Male,11/11/1999,New York City,New York
Alastair Hirschmann,Male,15/11/1999,Syracuse,New York
Chery De Zamudio,Female,20/11/1999,Buffalo,New York
Sherrie Kenington,Female,23/02/2000,New York City,New York
Esta Stidston,Female,28/10/1999,Bronx,New York
Korella Iron,Female,30/11/1999,Syracuse,New York
Tom Dimitrescu,Male,24/03/2000,Topeka,Kansas
Kinnie Reely,Male,13/02/2000,New York City,New York
Hazlett Andreou,Male,04/01/2000,Schenectady,New York
Sebastien Braden,Male,10/02/2000,New York City,New York
Adolpho Parke,Male,21/02/2000,New York City,New York
Ximenez Ballam,Male,13/01/2000,Rochester,New York
Vida Walstow,Female,16/12/1999,Utica,New York
Becca Hooban,Female,28/11/1999,New York City,New York
Cameron Michelet,Male,25/12/1999,New York City,New York
Tamqrah Frigout,Female,07/10/1999,Syracuse,New York
Garrek Marlor,Male,02/01/2000,New York City,New York
Zared Balden,Male,29/10/1999,Jamaica,New York
Erina Doring,Female,25/10/1999,Rochester,New York
Vania MacIllrick,Female,21/01/2000,Wichita,Kansas
Leif Cicchelli,Male,09/11/1999,Buffalo,New York
Salem Brehat,Male,22/12/1999,Shawnee Mission,Kansas
Bernhard Bellison,Male,18/01/2000,New York City,New York
Lissi Parmby,Female,19/01/2000,Buffalo,New York
Maison O'Dulchonta,Male,11/02/2000,Topeka,Kansas
Lonna Battin,Female,03/11/1999,Jamaica,New York
Jehanna Francesco,Female,27/03/2000,Shawnee Mission,Kansas
Robbie Biffen,Male,11/02/2000,New York City,New York
Pansie Yuryshev,Female,14/03/2000,Rochester,New York
Jeanne McCamish,Female,23/10/1999,Topeka,Kansas
Horatia Garrish,Female,01/02/2000,Flushing,New York
Elenore Fanti,Female,25/02/2000,Wichita,Kansas
Chrystal Levy,Female,25/10/1999,Bronx,New York
Shadow Buckney,Male,30/12/1999,Schenectady,New York
Erin Bramhall,Male,20/11/1999,Brooklyn,New York
Erminia Matson,Female,26/02/2000,Albany,New York
Teodoro Peyzer,Male,19/11/1999,Buffalo,New York
Sandi Inman,Female,24/12/1999,Flushing,New York
Tony Leeman,Male,07/02/2000,New York City,New York
Noah Gilhouley,Male,19/12/1999,Brooklyn,New York
Ilsa Dzeniskevich,Female,25/11/1999,New York City,New York
Bo Scrammage,Male,05/02/2000,Albany,New York
Carrol Skeates,Male,02/01/2000,Syracuse,New York
Deb Trevon,Female,07/03/2000,New York City,New York
Hetti Stollwerk,Female,02/03/2000,New York City,New York
Gerhardine Rudderham,Female,10/12/1999,New York City,New York
Phillida Last,Female,05/03/2000,Rochester,New York
Vassily Prinnett,Male,10/10/1999,Topeka,Kansas
Elmo Dudgeon,Male,22/03/2000,Brooklyn,New York
Blaine Dollard,Male,23/03/2000,Buffalo,New York
Diann Yurin,Female,13/12/1999,Bronx,New York
Cristen Lowther,Female,12/11/1999,Topeka,Kansas
Katleen Rosenshine,Female,17/03/2000,Buffalo,New York
Oby Wharin,Male,27/02/2000,New York City,New York
Brunhilde Blacklidge,Female,10/11/1999,Buffalo,New York
Emelina Garrad,Female,06/01/2000,Jamaica,New York
Latia Okill,Female,24/02/2000,Rochester,New York
Alexander Tayt,Male,14/02/2000,Mount Vernon,New York
Farleigh Calley,Male,15/01/2000,Staten Island,New York
Renate Gowdy,Female,24/02/2000,Rochester,New York
Agosto Sinncock,Male,08/02/2000,Rochester,New York
Bertie Bridell,Male,23/10/1999,New York City,New York
Fin Cuniffe,Male,25/02/2000,Buffalo,New York
Alecia Moulder,Female,01/12/1999,New York City,New York
Heath Scougall,Male,11/11/1999,New York City,New York
Reynold Dickerson,Male,24/03/2000,White Plains,New York
Christiano Spadari,Male,28/12/1999,Rochester,New York
Sonia Cubbinelli,Female,03/10/1999,New York City,New York
Phip Beverage,Male,28/10/1999,New York City,New York
Fletcher Blazi,Male,07/01/2000,Topeka,Kansas
Annmaria Bisp,Female,08/12/1999,Syracuse,New York
Nichole Albrook,Female,20/01/2000,Jamaica,New York
Ricki Rousell,Female,24/01/2000,Mount Vernon,New York
Alissa Dumingos,Female,29/11/1999,New York City,New York
Leonelle Giottoi,Female,27/10/1999,Wichita,Kansas
Eryn Pettegree,Female,30/01/2000,Schenectady,New York
Vincenty Gruczka,Male,01/12/1999,Bronx,New York
Basia Hatchman,Female,12/11/1999,Bronx,New York
Sergent Beveridge,Male,11/12/1999,Albany,New York
Agretha Rechert,Female,15/03/2000,Rochester,New York
Janetta Ludgate,Female,18/11/1999,New York City,New York
Kathleen Izhaky,Female,16/01/2000,New York City,New York
Karim Freund,Male,19/02/2000,Brooklyn,New York
Allison Zute,Female,09/10/1999,Shawnee Mission,Kansas
Grethel Vida,Female,06/03/2000,Topeka,Kansas
Sherwynd Pilgram,Male,01/03/2000,Albany,New York
Doti Blucher,Female,08/11/1999,Brooklyn,New York
Lurlene Wewell,Female,04/12/1999,Wichita,Kansas
Mariana Jiruca,Female,01/11/1999,Jamaica,New York
Cleveland Nowill,Male,15/01/2000,Schenectady,New York
Franny Cruxton,Female,12/01/2000,Wichita,Kansas
Ignacio Ruggen,Male,22/01/2000,Topeka,Kansas
Berky Dalgarnowch,Male,13/01/2000,Syracuse,New York
Lesli Ganiford,Female,14/12/1999,Buffalo,New York
Lauree Cubuzzi,Female,11/11/1999,Bronx,New York
Alisun Ingle,Female,25/02/2000,New York City,New York
Devonne Berndt,Female,04/01/2000,Jamaica,New York
Oliviero Foote,Male,11/03/2000,New York City,New York
Gilbertina MacKimmie,Female,13/02/2000,Jamaica,New York
Osborne Brosetti,Male,10/12/1999,New York City,New York
Richy Martynikhin,Male,11/02/2000,Mount Vernon,New York
Adrianna Bedder,Female,03/02/2000,New York City,New York
Kimmi Sheirlaw,Female,27/11/1999,Jamaica,New York
Lettie Grafham,Female,08/02/2000,Rochester,New York
Juliane Giorgioni,Female,10/12/1999,New York City,New York
Hershel Leyman,Male,06/03/2000,Yonkers,New York
Stewart Radsdale,Male,01/11/1999,New York City,New York
Duff Catt,Male,29/01/2000,Schenectady,New York
Janet Limon,Female,29/03/2000,New York City,New York
Dorey McLenaghan,Male,05/11/1999,Port Washington,New York
Amalia Reddan,Female,20/02/2000,New York City,New York
Gilbert Maureen,Male,11/12/1999,Kansas City,Kansas
Devlen Rowlands,Male,25/01/2000,Syracuse,New York
Eve Iannello,Female,06/10/1999,Shawnee Mission,Kansas
Jewell Butterfint,Female,01/02/2000,Great Neck,New York
Ingeberg Bille,Female,17/02/2000,Flushing,New York
Malinda Ravenscroftt,Female,26/03/2000,Staten Island,New York
Vivie Gierke,Female,27/12/1999,Flushing,New York
Kenna Seiler,Female,10/01/2000,Brooklyn,New York
Boot Loch,Male,01/10/1999,Jamaica,New York
Tadeo Tebbe,Male,12/03/2000,Topeka,Kansas
Halsey Orrin,Male,06/10/1999,Rochester,New York
Durant Cowcha,Male,06/02/2000,Buffalo,New York
Sileas Orrey,Female,11/03/2000,Topeka,Kansas
Georas Baress,Male,18/02/2000,Brooklyn,New York
Hale Tathacott,Male,15/01/2000,Brooklyn,New York
Seka Connechy,Female,31/10/1999,New York City,New York
Iorgo Brosoli,Male,15/10/1999,Buffalo,New York
Rafi Domoney,Male,13/11/1999,New York City,New York
Obediah Erbain,Male,08/03/2000,Brooklyn,New York
Sutherland Schutter,Male,21/02/2000,Bronx,New York
Walden Branson,Male,25/02/2000,Shawnee Mission,Kansas
Liam Worvell,Male,08/02/2000,New York City,New York
Alan Feaveryear,Male,13/12/1999,Buffalo,New York
Keelia Arnaldy,Female,11/03/2000,Brooklyn,New York
Reuben Cato,Male,01/01/2000,New York City,New York
Gunar Bonifazio,Male,22/02/2000,Bronx,New York
Sly Jansema,Male,29/02/2000,New York City,New York
Max Woolf,Male,30/10/1999,Jamaica,New York
Erwin Carlyle,Male,24/11/1999,New York City,New York
Dimitry Gauntlett,Male,22/01/2000,Kansas City,Kansas
Alica Govan,Female,07/01/2000,Jamaica,New York
Gussy Braunes,Female,12/02/2000,New York City,New York
Gussi Pittoli,Female,16/01/2000,Bronx,New York
Forbes Clymer,Male,19/01/2000,Jamaica,New York
Cammy Crake,Male,29/11/1999,New York City,New York
Vassily Ivashin,Male,11/03/2000,Wichita,Kansas
Selinda Frogley,Female,19/01/2000,New York City,New York
Temp Ferryn,Male,30/01/2000,New York City,New York
Merle Dowbekin,Male,03/01/2000,New York City,New York
Drucy Caws,Female,24/10/1999,New York City,New York
Ilise Pickburn,Female,16/03/2000,Wichita,Kansas
Reeta Vairow,Female,23/11/1999,Buffalo,New York
Lia Schwier,Female,13/03/2000,Bronx,New York
Barron Girard,Male,12/11/1999,Bronx,New York
Bucky Woodwing,Male,16/11/1999,Wichita,Kansas
Sonni Alison,Female,20/03/2000,Wichita,Kansas
Jarret Dart,Male,10/11/1999,New York City,New York
Darb Gellan,Male,01/03/2000,New York City,New York
Parrnell Darkin,Male,25/01/2000,Topeka,Kansas
Putnam Simpkin,Male,21/01/2000,Utica,New York
Alejandro Belfit,Male,16/02/2000,Buffalo,New York
Abbe Kupka,Male,03/01/2000,New York City,New York
Grady Joslin,Male,14/12/1999,Rochester,New York
Tan Farlow,Male,09/12/1999,New Hyde Park,New York
Jorie Vasilov,Female,21/11/1999,Flushing,New York
Ham Sloan,Male,08/11/1999,New York City,New York
Joyan Malpass,Female,31/01/2000,Brooklyn,New York
Betta McComish,Female,10/10/1999,Buffalo,New York
Delmor Dannel,Male,01/03/2000,Syracuse,New York
Lidia Merner,Female,31/12/1999,Topeka,Kansas
Gray Giannotti,Male,20/02/2000,Wichita,Kansas
Dasie Binning,Female,28/10/1999,Shawnee Mission,Kansas
Thorndike Raggles,Male,21/02/2000,New York City,New York
Loraine Olle,Female,06/03/2000,Albany,New York
Catrina Palia,Female,15/01/2000,Albany,New York
Norby Berzons,Male,25/01/2000,Bronx,New York
Malina Grievson,Female,15/02/2000,Brooklyn,New York
Paloma Varren,Female,14/01/2000,Shawnee Mission,Kansas
Alexandre Passo,Male,29/03/2000,New York City,New York
Noe Barthorpe,Male,18/02/2000,New York City,New York
Olin Garforth,Male,13/01/2000,Bronx,New York
Conney Gillinghams,Male,30/12/1999,New York City,New York
Marcela Babington,Female,23/02/2000,New York City,New York
Merl Pietesch,Female,27/02/2000,Albany,New York
Lazarus Cail,Male,29/11/1999,Buffalo,New York
Berk Cleverly,Male,16/03/2000,New York City,New York
Mateo Ramsdell,Male,01/03/2000,New York City,New York
Karna Nawton,Female,13/01/2000,Albany,New York
Andrei Gunter,Female,16/02/2000,Wichita,Kansas
Clare Germain,Female,30/03/2000,Albany,New York
Sylvia Reeders,Female,25/12/1999,White Plains,New York
Jonah Borrie,Male,04/01/2000,Rochester,New York
Michel Greader,Female,26/01/2000,Brooklyn,New York
Shane MacSween,Male,14/01/2000,Utica,New York
Ambrosio Feldhuhn,Male,21/12/1999,Buffalo,New York
Hussein Engeham,Male,18/03/2000,Utica,New York
Timmi Semarke,Female,16/11/1999,Albany,New York
Ardella Furmenger,Female,13/03/2000,Rochester,New York
Nickey Stebbings,Male,06/12/1999,Topeka,Kansas
Denna Caseri,Female,13/01/2000,Albany,New York
Jewelle Shelborne,Female,14/11/1999,Great Neck,New York
Phillip Livsey,Male,07/12/1999,New York City,New York
Shanna Everington,Female,14/11/1999,New York City,New York
Jude Vasyuchov,Male,01/10/1999,New York City,New York
Mile Vousden,Male,20/03/2000,Bronx,New York
Massimo McChruiter,Male,31/10/1999,New York City,New York
Donaugh Rignoldes,Male,28/11/1999,New York City,New York
Ginni Franschini,Female,09/01/2000,Flushing,New York
Danny Suscens,Female,01/11/1999,Rochester,New York
Gelya Bavester,Female,08/01/2000,New York City,New York
Jocelyn Niese,Female,20/10/1999,Wichita,Kansas
Linette Vertigan,Female,29/10/1999,Brooklyn,New York
Anthony Macro,Male,21/11/1999,New York City,New York
Winifield Swiggs,Male,23/10/1999,Bronx,New York
Zondra Tanti,Female,29/01/2000,New York City,New York
Lida Brent,Female,01/10/1999,Wichita,Kansas
Hamilton Clutterham,Male,06/12/1999,Buffalo,New York
Dimitri Gowans,Male,16/02/2000,New York City,New York
Analise Castagna,Female,11/12/1999,Syracuse,New York
Amanda Leipold,Female,04/02/2000,Shawnee Mission,Kansas
Sandye Aitken,Female,21/11/1999,New York City,New York
Orlan Scinelli,Male,16/01/2000,Schenectady,New York
Jean Eggar,Male,30/12/1999,New York City,New York
Goran Fullerd,Male,25/01/2000,Kansas City,Kansas
Bail Gerling,Male,28/02/2000,Albany,New York
Johannah Lett,Female,17/10/1999,Topeka,Kansas
Tuckie Bradane,Male,13/01/2000,New York City,New York
Clarie Robey,Female,13/12/1999,New York City,New York
Darcy Damarell,Female,12/10/1999,Bronx,New York
Zorah Mathey,Female,30/03/2000,White Plains,New York
Brier Tierney,Female,08/11/1999,New York City,New York
Robinetta MacDiarmond,Female,26/03/2000,Schenectady,New York
Joeann Bergstrand,Female,11/03/2000,New York City,New York
Maureen Dykas,Female,12/03/2000,New York City,New York
Conrado Bastian,Male,05/10/1999,Bronx,New York
Les Parmley,Male,08/12/1999,Wichita,Kansas
Lelia Lockery,Female,22/02/2000,Albany,New York
Ginger Tissier,Male,24/10/1999,Rochester,New York
Angelika Wardingly,Female,30/03/2000,New York City,New York
Beth Elis,Female,17/10/1999,Bronx,New York
Jennette Brocking,Female,29/01/2000,Topeka,Kansas
Jade Tremollet,Female,08/03/2000,New York City,New York
West Milbourne,Male,04/03/2000,Brooklyn,New York
Gregory Cain,Male,09/12/1999,New York City,New York
Karlens Pencost,Male,22/03/2000,Elmira,New York
Sybil Rose,Female,01/10/1999,Rochester,New York
Barry MacQuaker,Male,10/12/1999,Brooklyn,New York
Stavro Imms,Male,02/02/2000,Bronx,New York
Rock Demanche,Male,17/12/1999,New York City,New York
Farlay Gopsall,Male,31/10/1999,Shawnee Mission,Kansas
Benton Fernao,Male,17/10/1999,Kansas City,Kansas
Valentine Menichi,Male,10/11/1999,Flushing,New York
Roland Markovic,Male,25/02/2000,Brooklyn,New York
Roze Stilldale,Female,17/11/1999,Jamaica,New York
Sophia Thurston,Female,08/03/2000,New York City,New York
Calhoun Muller,Male,07/03/2000,Bronx,New York
Hewet Newton,Male,20/01/2000,Bronx,New York
Reginauld Dupree,Male,12/11/1999,New York City,New York
Loleta Gerbl,Female,14/03/2000,Flushing,New York
Mandy Daulby,Female,24/10/1999,Wichita,Kansas
Denys Gleadhell,Male,17/02/2000,New York City,New York
Freda Chellingworth,Female,17/12/1999,Buffalo,New York
Noellyn Jeavon,Female,03/03/2000,Kansas City,Kansas
Elaine Ladley,Female,16/10/1999,Topeka,Kansas
Erik Gaffer,Male,27/03/2000,New York City,New York
Taylor Blenkiron,Male,02/11/1999,New York City,New York
Clemmy Figure,Male,07/10/1999,New York City,New York
Aron Orvis,Male,12/11/1999,Albany,New York
Randell Farady,Male,28/10/1999,New York City,New York
Shayla Belchamber,Female,28/01/2000,Bronx,New York
Kendre Villa,Female,24/03/2000,Wichita,Kansas
Adriano Dragonette,Male,09/01/2000,New York City,New York
Martina Thornewell,Female,08/01/2000,Jamaica,New York
Johnna Standbridge,Female,09/03/2000,Rochester,New York
Abigale Gawkes,Female,08/10/1999,Buffalo,New York
Odie Dobrowolny,Male,27/11/1999,New York City,New York
Alexi Vasyanin,Female,24/01/2000,Buffalo,New York
Giulia Luetkemeyer,Female,20/11/1999,Jamaica,New York
Karoly Riseam,Female,18/03/2000,Rochester,New York
Fernanda Wooller,Female,02/10/1999,Shawnee Mission,Kansas
Sena Wildor,Female,27/03/2000,New York City,New York
Lynsey Ambridge,Female,19/11/1999,Buffalo,New York
Kerrill Trimmill,Female,16/10/1999,Buffalo,New York
Noll Rought,Male,21/12/1999,Rochester,New York
Melania Krahl,Female,09/11/1999,Utica,New York
Jeanine Ianniello,Female,31/12/1999,Syracuse,New York
Mair Brealey,Female,22/01/2000,Shawnee Mission,Kansas
Annalee Forman,Female,05/02/2000,Shawnee Mission,Kansas
Bert Dilliston,Male,24/01/2000,Staten Island,New York
Bartram Vasovic,Male,17/11/1999,Topeka,Kansas
Casar Smiz,Male,27/11/1999,Rochester,New York
Marcus Skurray,Male,19/12/1999,Brooklyn,New York
Justen Wolfit,Male,18/10/1999,Rochester,New York
Waylin Keenleyside,Male,21/03/2000,Albany,New York
Mona Rispen,Female,14/01/2000,New Hyde Park,New York
Celka Matzaitis,Female,09/01/2000,New York City,New York
Zackariah Oki,Male,06/02/2000,New York City,New York
Arley Atling,Male,10/01/2000,Flushing,New York
Ike Hasted,Male,20/10/1999,Rochester,New York
Dunstan Abbots,Male,19/11/1999,Mount Vernon,New York
Eadmund Souch,Male,22/01/2000,New York City,New York
Claudell Trippett,Male,20/03/2000,Flushing,New York
Karlotte Schultz,Female,16/11/1999,Rochester,New York
Broddy Youson,Male,13/11/1999,Topeka,Kansas
Izzy Netherclift,Male,01/12/1999,Jamaica,New York
Adoree Narramore,Female,17/03/2000,Brooklyn,New York
Kevin Sprigings,Male,13/01/2000,Great Neck,New York
Meggy Bullivant,Female,25/11/1999,New York City,New York
Selie Robbings,Female,19/12/1999,Staten Island,New York
Lynelle Branca,Female,30/12/1999,Jamaica,New York
Guenna Cromwell,Female,09/03/2000,Wichita,Kansas
Lynett Southon,Female,03/11/1999,New York City,New York
Zaria Ollet,Female,28/01/2000,New York City,New York
Allx Welbeck,Female,08/12/1999,Wichita,Kansas
Lynna Frissell,Female,23/11/1999,Brooklyn,New York
Augusta Lobe,Female,19/02/2000,Brooklyn,New York
Alyda Gabrieli,Female,25/12/1999,Wichita,Kansas
Erv Dart,Male,23/02/2000,Albany,New York
Monro Beagles,Male,12/12/1999,Staten Island,New York
Fae Gauche,Female,23/02/2000,New York City,New York
Ebony Storry,Female,10/10/1999,Topeka,Kansas
Jorrie Duggen,Female,19/11/1999,Syracuse,New York
Winston McGow,Male,11/02/2000,Albany,New York
Rafaello Message,Male,19/11/1999,Wichita,Kansas
Hedy Whittall,Female,29/02/2000,Shawnee Mission,Kansas
Mollie Apfler,Female,05/03/2000,Jamaica,New York
Herold Skally,Male,07/03/2000,New York City,New York
Esra Lattin,Male,22/01/2000,Syracuse,New York
Dunn Pennicott,Male,14/12/1999,Rochester,New York
Thelma Hintze,Female,29/11/1999,Jamaica,New York
Corbin Cleugh,Male,03/02/2000,New York City,New York
Marcos Krollman,Male,08/11/1999,New York City,New York
Delmor Cuckoo,Male,05/10/1999,Jamaica,New York
Shina Andreini,Female,07/12/1999,New York City,New York
Naoma Vallow,Female,28/12/1999,Rochester,New York
Morena Ales0,Female,04/01/2000,Topeka,Kansas
Collin Boog,Male,29/11/1999,New York City,New York
Jaquenetta Fass,Female,30/10/1999,Topeka,Kansas
Yance Chisholm,Male,19/11/1999,Albany,New York
Trey Wabersich,Male,20/12/1999,Albany,New York
Pate Idwal Evans,Male,28/02/2000,New York City,New York
Muire Paddeley,Female,05/11/1999,New York City,New York
Leese Spencook,Female,12/12/1999,Albany,New York
Mandel Crich,Male,16/03/2000,New York City,New York
Erinn McTrustey,Female,06/02/2000,New York City,New York
Beth Jessel,Female,30/11/1999,New York City,New York
Jacynth Kilcullen,Female,04/11/1999,Jamaica,New York
Jules Pearde,Male,19/10/1999,Buffalo,New York
Consuelo Ferraron,Female,02/10/1999,New York City,New York
Rubin Carman,Male,12/02/2000,Syracuse,New York
Ulric Magauran,Male,11/02/2000,Albany,New York
Tanner MacGinney,Male,09/01/2000,Albany,New York
Con Dyet,Male,10/10/1999,Schenectady,New York
Rafael Mithun,Male,16/03/2000,Flushing,New York
Cissy Gustus,Female,25/01/2000,Jamaica,New York
Ichabod Grzeszczyk,Male,28/03/2000,Buffalo,New York
Brandais Peirce,Female,16/03/2000,Wichita,Kansas
Melantha Minger,Female,17/02/2000,New York City,New York
Hort Hoggan,Male,14/03/2000,New York City,New York
Arron Blankhorn,Male,06/02/2000,Jamaica,New York
Pancho Seyfart,Male,12/11/1999,Staten Island,New York
Torry Scarfe,Male,15/11/1999,Schenectady,New York
Karie McLoughlin,Female,21/10/1999,Topeka,Kansas
Northrup Astle,Male,04/01/2000,Syracuse,New York
Christen Venneur,Female,28/01/2000,Bronx,New York
Oliviero Tomeo,Male,15/03/2000,Rochester,New York
Carly Copper,Male,29/12/1999,New York City,New York
Brok McParland,Male,16/12/1999,Topeka,Kansas
Freeland Farrah,Male,28/11/1999,Wichita,Kansas
Jewel Tie,Female,10/10/1999,Shawnee Mission,Kansas
Gerri Klimontovich,Female,02/11/1999,Buffalo,New York
Frederico Breydin,Male,06/10/1999,New York City,New York
Christie Conant,Male,26/02/2000,New York City,New York
Avivah Hawkings,Female,13/10/1999,New York City,New York
Lorrayne Semken,Female,17/12/1999,Rochester,New York
Zorah Ruff,Female,15/02/2000,Rochester,New York
Flin Charleston,Male,04/11/1999,New York City,New York
Zebulon Boniface,Male,29/10/1999,Bronx,New York
Irwinn Hanmer,Male,31/01/2000,Mount Vernon,New York
Carly Keightley,Male,27/03/2000,Rochester,New York
Harmonia Hellin,Female,10/03/2000,New York City,New York
Titus Hitzke,Male,20/02/2000,Mount Vernon,New York
Arnold Anetts,Male,31/01/2000,Brooklyn,New York
Andrew Cordell,Male,11/10/1999,Buffalo,New York
Alison Wimpeney,Female,10/01/2000,Shawnee Mission,Kansas
Althea Mates,Female,07/12/1999,Topeka,Kansas
Jeth Allard,Male,26/12/1999,Staten Island,New York
Addie Andrzej,Male,11/03/2000,New York City,New York
Marietta Bernardt,Male,13/11/1999,New York City,New York
Marjie Currell,Female,12/02/2000,Bronx,New York
Delainey Almond,Male,16/01/2000,Topeka,Kansas
Wildon Farleigh,Male,03/11/1999,Kansas City,Kansas
Sybyl Payne,Female,03/12/1999,New York City,New York
Viviyan Vittore,Female,18/12/1999,Jamaica,New York
Lucas Peat,Male,31/10/1999,Bronx,New York
Clary Kleinpeltz,Female,04/10/1999,New York City,New York
Averill Kitteman,Male,16/12/1999,New York City,New York
Rudyard Newey,Male,07/11/1999,New York City,New York
Katrinka Poulney,Female,10/10/1999,New York City,New York
Sigismund Hauxley,Male,13/11/1999,Mount Vernon,New York
Marius Errigo,Male,26/02/2000,Brooklyn,New York
Orsola Rosenstiel,Female,06/11/1999,Brooklyn,New York
Phillie Pavlishchev,Female,06/03/2000,Bronx,New York
Thaddus McHenry,Male,13/01/2000,Shawnee Mission,Kansas
Marietta Imloch,Male,18/01/2000,New York City,New York
Amy Doring,Female,19/12/1999,Syracuse,New York
Ignacius Stroulger,Male,09/01/2000,New York City,New York
Agosto Daish,Male,29/03/2000,Staten Island,New York
Pascale MacCahey,Male,21/10/1999,Brooklyn,New York
Cynthia Meffin,Female,13/01/2000,New Hyde Park,New York
Lisle Likely,Male,09/11/1999,Kansas City,Kansas
Inger Bestall,Female,09/10/1999,Bronx,New York
Osmond Crewther,Male,06/03/2000,Staten Island,New York
Wenona Benedek,Female,13/10/1999,Brooklyn,New York
Odey Sabbin,Male,23/12/1999,Buffalo,New York
Sam Gaule,Male,05/01/2000,Buffalo,New York
Giacomo Christophers,Male,18/10/1999,New York City,New York
Freedman Curless,Male,30/03/2000,Albany,New York
Giff Dahler,Male,12/12/1999,Staten Island,New York
Chan Elgie,Male,22/10/1999,Buffalo,New York
Kelly Skea,Female,22/12/1999,Albany,New York
Elfrida Siverns,Female,30/11/1999,New York City,New York
Bent De Hooch,Male,22/10/1999,Jamaica,New York
Vinnie Moreland,Female,12/03/2000,New York City,New York
Britney Reith,Female,29/01/2000,Rochester,New York
Bill Othen,Male,25/10/1999,New York City,New York
Nedi MacHoste,Female,01/12/1999,White Plains,New York
Hartley Manders,Male,28/10/1999,Albany,New York
Artie Passie,Male,16/11/1999,Brooklyn,New York
Zandra Blaxeland,Female,08/10/1999,Buffalo,New York
Hally Sywell,Female,04/02/2000,Wichita,Kansas
Maxie Crowhurst,Male,15/02/2000,New York City,New York
Emmey Sparkwill,Female,11/02/2000,Albany,New York
Georgine Disdel,Female,22/03/2000,Shawnee Mission,Kansas
Dugald Simants,Male,25/02/2000,Wichita,Kansas
Wallace Bagg,Male,07/01/2000,Albany,New York
Dell Petrasso,Female,23/12/1999,Brooklyn,New York
Jacky Mizzi,Male,12/01/2000,Syracuse,New York
Ava Le Claire,Female,19/11/1999,Shawnee Mission,Kansas
Eduardo Mannie,Male,09/10/1999,Staten Island,New York
Bo Lyons,Male,24/12/1999,New York City,New York
Shannen Skeel,Female,28/02/2000,Albany,New York
Cecil Andrzej,Female,27/12/1999,Great Neck,New York
Michal Mattusov,Male,09/11/1999,Syracuse,New York
Gaye Vennard,Female,12/12/1999,Wichita,Kansas
Merle Nisot,Male,01/01/2000,Syracuse,New York
Glenn Gossage,Male,04/02/2000,Shawnee Mission,Kansas
Fletch Trahar,Male,14/12/1999,Shawnee Mission,Kansas
Leonie Pymm,Female,09/12/1999,Kansas City,Kansas
Evaleen Dominico,Female,01/03/2000,Bronx,New York
Joeann Ruzek,Female,11/11/1999,Buffalo,New York
Verile Lauga,Female,07/12/1999,Shawnee Mission,Kansas
Tresa Laboune,Female,08/01/2000,Jamaica,New York
Kelli Day,Female,20/01/2000,Rochester,New York
Raynard Hens,Male,23/11/1999,Schenectady,New York
Laurens Mynett,Male,11/01/2000,Brooklyn,New York
Elihu Stanluck,Male,18/12/1999,New York City,New York
Alex Lum,Male,29/11/1999,Bronx,New York
Thorstein Boobyer,Male,25/10/1999,Rochester,New York
Kandy Rolfi,Female,07/12/1999,New York City,New York
Katerina McGebenay,Female,28/01/2000,Albany,New York
Noach Bartlomieczak,Male,12/12/1999,Buffalo,New York
Corbie Crossingham,Male,25/01/2000,Kansas City,Kansas
Diane Michin,Female,23/01/2000,New York City,New York
Ruggiero Bourne,Male,27/01/2000,Jamaica,New York
Lemmie Hassen,Male,10/10/1999,Rochester,New York
Boony Levene,Male,27/02/2000,Brooklyn,New York
Cassandre Hunte,Female,18/02/2000,Shawnee Mission,Kansas
Cody Rimington,Female,05/10/1999,New York City,New York
Samson Dumper,Male,14/10/1999,Staten Island,New York
Lorena Bernardos,Female,17/01/2000,New York City,New York
Lowe Matyushkin,Male,16/10/1999,Shawnee Mission,Kansas
Trixi Renouf,Female,06/01/2000,New York City,New York
Aurie Morales,Female,22/01/2000,Albany,New York
Scottie Goodwill,Male,15/01/2000,Jamaica,New York
Jeromy Pourveer,Male,18/12/1999,Staten Island,New York
Clem Caberas,Male,02/10/1999,Syracuse,New York
Zacharia de Courcey,Male,09/12/1999,Kansas City,Kansas
Raff Lougheed,Male,27/02/2000,New York City,New York
Theo Willwood,Male,05/03/2000,New York City,New York
Zack While,Male,05/03/2000,Rochester,New York
Aggie Rasper,Female,11/01/2000,Buffalo,New York
Deina Marchington,Female,27/11/1999,Albany,New York
Helsa Kares,Female,20/10/1999,Buffalo,New York
Godfrey Noah,Male,26/10/1999,Buffalo,New York
Yves Lyster,Male,26/12/1999,New York City,New York
Hunfredo Shulem,Male,13/11/1999,Rochester,New York
Horatius Pidgen,Male,29/11/1999,Topeka,Kansas
Wenonah Lates,Female,14/12/1999,Albany,New York
Filip Hallibone,Male,03/12/1999,New York City,New York
Rooney Parnell,Male,17/12/1999,Jamaica,New York
Lauren Harbron,Female,04/03/2000,Buffalo,New York
Ora MacAnellye,Female,30/10/1999,Rochester,New York
Alexandre Faustian,Male,16/12/1999,New York City,New York
